classId,lec_dis,status,total_spots,enrolled_spots,waitlist_status,days,start_time,end_time,location,units,instructors
MATH0596,Tut 40,Closed by Dept Mathematics,0,0,No Waitlist,Not scheduled,,,No Location,2.0-8.0 Variable,"Tao, T.C."
MATH0596,Tut 41,Closed by Dept Mathematics,0,0,No Waitlist,Not scheduled,,,No Location,2.0-8.0 Variable,"Totaro, B."
MATH0596,Tut 42,Closed by Dept Mathematics,0,0,No Waitlist,Not scheduled,,,No Location,2.0-8.0 Variable,"Vese, L.A."
MATH0596,Tut 43,Closed by Dept Mathematics,0,0,No Waitlist,Not scheduled,,,No Location,2.0-8.0 Variable,"Visan, M."
MATH0596,Tut 44,Closed by Dept Mathematics,0,0,No Waitlist,Not scheduled,,,No Location,2.0-8.0 Variable,"Xu, Z."
MATH0596,Tut 45,Closed by Dept Mathematics,0,0,No Waitlist,Not scheduled,,,No Location,2.0-8.0 Variable,"Yin, J."
MATH0599,Tut 1,Open,2,0,No Waitlist,Not scheduled,,,No Location,2.0-12.0 Variable,"Balmer, P."
MATH0599,Tut 2,Open,1,0,No Waitlist,Not scheduled,,,No Location,2.0-12.0 Variable,"Bedrossian, J.P."
MATH0599,Tut 3,Closed by Dept Mathematics,0,0,No Waitlist,Not scheduled,,,No Location,2.0-12.0 Variable,"Bernshteyn, A."
MATH0599,Tut 4,Open,5,0,No Waitlist,Not scheduled,,,No Location,2.0-12.0 Variable,"Bertozzi, A."
MATH0599,Tut 5,Closed by Dept Mathematics,0,0,No Waitlist,Not scheduled,,,No Location,2.0-12.0 Variable,"Biskup, M."
MATH0599,Tut 6,Closed by Dept Mathematics,0,0,No Waitlist,Not scheduled,,,No Location,2.0-12.0 Variable,"Blasius, D.M."
MATH0599,Tut 7,Closed by Dept Mathematics,0,0,No Waitlist,Not scheduled,,,No Location,2.0-12.0 Variable,"Bonk, M."
MATH0599,Tut 8,Closed by Dept Mathematics,0,0,No Waitlist,Not scheduled,,,No Location,2.0-12.0 Variable,"Chen, Y."
MATH0599,Tut 9,Closed by Dept Mathematics,0,0,No Waitlist,Not scheduled,,,No Location,2.0-12.0 Variable,No instructors
MATH0599,Tut 10,Closed by Dept Mathematics,0,0,No Waitlist,Not scheduled,,,No Location,2.0-12.0 Variable,"Dhillon, G."
MATH0599,Tut 11,Closed by Dept Mathematics,0,0,No Waitlist,Not scheduled,,,No Location,2.0-12.0 Variable,"Galashin, P."
MATH0599,Tut 12,Open,1,0,No Waitlist,Not scheduled,,,No Location,2.0-12.0 Variable,"Gangbo, W."
MATH0599,Tut 13,Closed by Dept Mathematics,0,0,No Waitlist,Not scheduled,,,No Location,2.0-12.0 Variable,"Gao, Z."
MATH0599,Tut 14,Closed by Dept Mathematics,0,0,No Waitlist,Not scheduled,,,No Location,2.0-12.0 Variable,"Greene, R.E."
MATH0599,Tut 15,Open,2,0,No Waitlist,Not scheduled,,,No Location,2.0-12.0 Variable,"Honda, K."
MATH0599,Tut 16,Closed by Dept Mathematics,0,0,No Waitlist,Not scheduled,,,No Location,2.0-12.0 Variable,"Jiang, C."
MATH0599,Tut 17,Closed by Dept Mathematics,0,0,No Waitlist,Not scheduled,,,No Location,2.0-12.0 Variable,"Khare, C."
MATH0599,Tut 18,Open,2,0,No Waitlist,Not scheduled,,,No Location,2.0-12.0 Variable,"Khitrik, M."
MATH0599,Tut 19,Open,2,0,No Waitlist,Not scheduled,,,No Location,2.0-12.0 Variable,"Killip, R."
MATH0599,Tut 20,Open,2,0,No Waitlist,Not scheduled,,,No Location,2.0-12.0 Variable,"Kim, C."
MATH0599,Tut 21,Closed by Dept Mathematics,0,0,No Waitlist,Not scheduled,,,No Location,2.0-12.0 Variable,"Liu, K."
MATH0599,Tut 22,Closed by Dept Mathematics,0,0,No Waitlist,Not scheduled,,,No Location,2.0-12.0 Variable,"Maldague, D.F."
MATH0599,Tut 23,Closed by Dept Mathematics,0,0,No Waitlist,Not scheduled,,,No Location,2.0-12.0 Variable,"Menz, G."
MATH0599,Tut 24,Closed by Dept Mathematics,0,0,No Waitlist,Not scheduled,,,No Location,2.0-12.0 Variable,"Merkurjev, A.S."
MATH0599,Tut 25,Closed by Dept Mathematics,0,0,No Waitlist,Not scheduled,,,No Location,2.0-12.0 Variable,"Montufar Cuartas,"
MATH0599,Tut 26,Open,2,0,No Waitlist,Not scheduled,,,No Location,2.0-12.0 Variable,"Moraga, J."
MATH0599,Tut 27,Open,4,0,No Waitlist,Not scheduled,,,No Location,2.0-12.0 Variable,"Needell, D."
MATH0599,Tut 28,Open,1,0,No Waitlist,Not scheduled,,,No Location,2.0-12.0 Variable,"Neeman, I."
MATH0599,Tut 29,Open,1,0,No Waitlist,Not scheduled,,,No Location,2.0-12.0 Variable,"Osher, S.J."
MATH0599,Tut 30,Open,4,0,No Waitlist,Not scheduled,,,No Location,2.0-12.0 Variable,"Pak, I."
MATH0599,Tut 31,Closed by Dept Mathematics,0,0,No Waitlist,Not scheduled,,,No Location,2.0-12.0 Variable,"Petersen, P."
MATH0599,Tut 32,Closed by Dept Mathematics,0,0,No Waitlist,Not scheduled,,,No Location,2.0-12.0 Variable,"Popa, S."
MATH0599,Tut 33,Closed by Dept Mathematics,0,0,No Waitlist,Not scheduled,,,No Location,2.0-12.0 Variable,"Porter, M.A."
MATH0599,Tut 34,Closed by Dept Mathematics,0,0,No Waitlist,Not scheduled,,,No Location,2.0-12.0 Variable,"Roper, M.L."
MATH0599,Tut 35,Open,3,0,No Waitlist,Not scheduled,,,No Location,2.0-12.0 Variable,"Rouquier, R.A."
MATH0599,Tut 36,Open,1,0,No Waitlist,Not scheduled,,,No Location,2.0-12.0 Variable,"Ryu, E.K."
MATH0599,Tut 37,Open,3,0,No Waitlist,Not scheduled,,,No Location,2.0-12.0 Variable,"Sarkar, S."
MATH0599,Tut 38,Open,3,0,No Waitlist,Not scheduled,,,No Location,2.0-12.0 Variable,"Schaeffer, H.K."
MATH0599,Tut 39,Open,1,0,No Waitlist,Not scheduled,,,No Location,2.0-12.0 Variable,"Sharifi, R.T."
MATH0599,Tut 40,Open,1,0,No Waitlist,Not scheduled,,,No Location,2.0-12.0 Variable,"Shlyakhtenko, D.Y."
MATH0599,Tut 41,Open,5,0,No Waitlist,Not scheduled,,,No Location,2.0-12.0 Variable,"Tao, T.C."
MATH0599,Tut 42,Open,2,0,No Waitlist,Not scheduled,,,No Location,2.0-12.0 Variable,"Totaro, B."
MATH0599,Tut 43,Closed by Dept Mathematics,0,0,No Waitlist,Not scheduled,,,No Location,2.0-12.0 Variable,"Vese, L.A."
MATH0599,Tut 44,Closed by Dept Mathematics,0,0,No Waitlist,Not scheduled,,,No Location,2.0-12.0 Variable,"Visan, M."
MATH0599,Tut 45,Open,1,0,No Waitlist,Not scheduled,,,No Location,2.0-12.0 Variable,"Xu, Z."
MATH0599,Tut 46,Open,1,0,No Waitlist,Not scheduled,,,No Location,2.0-12.0 Variable,"Yin, J."
